"","Country","Mammals","Birds","Reptiles","Amphibians","Fishes","Molluscs","Total","Continent","Low","Medium","High"
"178","Cook Islands",1,16,3,0,11,0,74,"Oceania",-0.52,0,0.52
"179","Fiji",7,14,15,1,20,68,300,"Oceania",-0.69,-0.1,0.46
"180","French Polynesia",0,35,3,0,28,31,176,"Oceania",-0.45,0.03,0.51
"181","Guam",3,14,5,0,14,6,101,"Oceania",-0.44,0.06,0.55
"182","Kiribati",2,6,2,0,14,1,105,"Oceania",0.51,0.98,1.43
"183","Marshall Islands",1,4,4,0,18,1,100,"Oceania",-0.26,0.22,0.65
"184","Nauru",2,2,0,0,11,0,83,"Oceania",-0.81,-0.29,0.22
"185","New Caledonia",9,17,54,0,37,28,592,"Oceania",0.17,0.58,0.98
"186","New Zealand",9,69,15,3,38,35,219,"Oceania",-0.14,0.28,0.71
"187","Niue",1,8,4,0,8,0,51,"Oceania",-0.31,0.21,0.69
"188","Northern Mariana Islands",3,17,4,0,14,4,101,"Oceania",-1.43,-0.87,-0.31
"189","Palau",4,6,3,0,21,40,185,"Oceania",-0.1,0.35,0.78
"190","Papua New Guinea",41,39,13,11,61,2,524,"Oceania",0.63,1.08,1.5
"191","Samoa",2,6,5,0,16,1,94,"Oceania",-0.13,0.4,0.88
"192","Solomon Islands",19,24,6,2,24,2,241,"Oceania",0.69,1.13,1.54
"193","Tokelau",0,1,3,0,10,0,49,"Oceania",-0.28,0.24,0.78
"194","Tonga",2,5,5,0,16,4,80,"Oceania",-0.08,0.44,0.93
"195","Tuvalu",2,1,3,0,13,1,97,"Oceania",0.07,0.63,1.14
"196","Vanuatu",8,8,4,0,18,3,139,"Oceania",0.71,1.15,1.58
"197","Argentina",38,52,26,30,42,0,273,"South America",-0.09,0.38,0.84
"198","Brazil",80,175,30,35,93,22,1027,"South America",-0.59,-0.1,0.4
"199","Chile",19,35,25,29,27,1,221,"South America",-0.44,0.03,0.49
"200","Colombia",58,126,35,222,99,4,861,"South America",-0.65,-0.14,0.37
"201","Ecuador",47,106,63,159,61,49,2372,"South America",0.03,0.51,0.98
"202","Falkland Islands (Malvinas)",4,8,0,0,5,0,22,"South America",-0.66,-0.19,0.27
"203","French Guiana",8,8,7,3,30,0,74,"South America",1.03,1.4,1.75
"204","Guyana",11,16,6,9,33,0,106,"South America",-0.97,-0.31,0.31
"205","Paraguay",10,27,7,0,0,0,64,"South America",-0.18,0.35,0.85
"206","Peru",53,119,23,138,52,4,721,"South America",-0.15,0.33,0.79
"207","Suriname",9,9,6,1,32,0,85,"South America",-0.55,0,0.52
"208","Uruguay",10,22,6,5,45,0,112,"South America",-0.56,-0.05,0.45
